description,name,param,temp-class,w-typ,FID
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2009.html'>Stationsseite</a>,RhÃ´ne - Porte du Scex (2009),Temperatur,1,Fluss,2009
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2011.html'>Stationsseite</a>,RhÃ´ne - Sion (2011),Temperatur,1,Fluss,2011
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2016.html'>Stationsseite</a>,Aare - Brugg (2016),Temperatur,2,Fluss,2016
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2018.html'>Stationsseite</a>,Reuss - Mellingen (2018),Temperatur,2,Fluss,2018
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2019.html'>Stationsseite</a>,Aare - Brienzwiler (2019),Temperatur,1,Fluss,2019
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2029.html'>Stationsseite</a>,"Aare - BrÃ¼gg, Aegerten (2029)",Temperatur,2,Fluss,2029
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2030.html'>Stationsseite</a>,Aare - Thun (2030),Temperatur,2,Fluss,2030
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2033.html'>Stationsseite</a>,Vorderrhein - Ilanz (2033),Temperatur,1,Fluss,2033
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2034.html'>Stationsseite</a>,"Broye - Payerne, Caserne d 'aviation (2034)",Temperatur,1,Fluss,2034
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2044.html'>Stationsseite</a>,Thur - Andelfingen (2044),Temperatur,2,Fluss,2044
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2056.html'>Stationsseite</a>,Reuss - Seedorf (2056),Temperatur,1,Fluss,2056
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2068.html'>Stationsseite</a>,Ticino - Riazzino (2068),Temperatur,1,Fluss,2068
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2070.html'>Stationsseite</a>,"Emme - Emmenmatt, nur Hauptstation (2070)",Temperatur,1,Fluss,2070
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2084.html'>Stationsseite</a>,Muota - Ingenbohl (2084),Temperatur,1,Fluss,2084
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2085.html'>Stationsseite</a>,Aare - Hagneck (2085),Temperatur,2,Fluss,2085
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2091.html'>Stationsseite</a>,"Rhein - Rheinfelden, Messstation (2091)",Temperatur,3,Fluss,2091
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2104.html'>Stationsseite</a>,"Linth - Weesen, BiÃ¤sche (2104)",Temperatur,2,Fluss,2104
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2106.html'>Stationsseite</a>,"Birs - MÃ¼nchenstein, Hofmatt (2106)",Temperatur,2,Fluss,2106
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2109.html'>Stationsseite</a>,LÃ¼tschine - Gsteig (2109),Temperatur,1,Fluss,2109
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2112.html'>Stationsseite</a>,Sitter - Appenzell (2112),Temperatur,1,Fluss,2112
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2113.html'>Stationsseite</a>,"Aare - Felsenau, K.W. Klingnau (U.W.) (2113)",Temperatur,3,Fluss,2113
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2126.html'>Stationsseite</a>,Murg - WÃ¤ngi (2126),Temperatur,2,Fluss,2126
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2130.html'>Stationsseite</a>,Rhein (Oberwasser) - Laufenburg (2130),Temperatur,2,Fluss,2130
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2135.html'>Stationsseite</a>,"Aare - Bern, SchÃ¶nau (2135)",Temperatur,2,Fluss,2135
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2139.html'>Stationsseite</a>,Rheintaler Binnenkanal - St. Margrethen (2139),Temperatur,2,Fluss,2139
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2143.html'>Stationsseite</a>,Rhein - Rekingen (2143),Temperatur,2,Fluss,2143
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2150.html'>Stationsseite</a>,Landquart - Felsenbach (2150),Temperatur,1,Fluss,2150
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2152.html'>Stationsseite</a>,"Reuss - Luzern, GeissmattbrÃ¼cke (2152)",Temperatur,2,Fluss,2152
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2159.html'>Stationsseite</a>,"GÃ¼rbe - Belp, MÃ¼limatt (2159)",Temperatur,1,Fluss,2159
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2161.html'>Stationsseite</a>,Massa - Blatten bei Naters (2161),Temperatur,1,Fluss,2161
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2167.html'>Stationsseite</a>,"Tresa - Ponte Tresa, Rocchetta (2167)",Temperatur,3,Fluss,2167
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2170.html'>Stationsseite</a>,"Arve - GenÃ¨ve, Bout du Monde (2170)",Temperatur,1,Fluss,2170
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2174.html'>Stationsseite</a>,"RhÃ´ne - Chancy, Aux Ripes (2174)",Temperatur,2,Fluss,2174
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2176.html'>Stationsseite</a>,"Sihl - ZÃ¼rich, SihlhÃ¶lzli (2176)",Temperatur,1,Fluss,2176
<a target='_blank' href='http://www.hydrodaten.admin.ch/de/2179.html'>Stationsseite</a>,"Sense - ThÃ¶rishaus, Sensematt (2179)",Temperatur,1,Fluss,2179
